日期,客户名称,托管群数,活跃成员数,消息总数,转化率,运营状态
2026-04-01,华南贸易,12,380,1240,0.18,正常
2026-04-02,华南贸易,12,392,1310,0.20,正常
2026-04-03,启明科技,8,210,760,0.12,正常
2026-04-04,启明科技,8,205,690,0.11,预警
2026-04-05,云图文化,15,520,1820,0.25,正常
2026-04-06,云图文化,15,505,1760,0.23,正常
2026-04-07,鼎峰实业,5,150,430,0.09,预警
2026-04-08,鼎峰实业,5,160,460,0.10,正常
2026-04-09,星河传媒,20,680,2350,0.31,正常
2026-04-10,星河传媒,20,710,2480,0.33,正常
2026-04-11,华南贸易,12,400,1330,0.21,正常
2026-04-12,启明科技,8,230,820,0.14,正常
2026-04-13,云图文化,15,540,1900,0.27,正常
2026-04-14,鼎峰实业,5,158,440,0.10,预警
2026-04-15,星河传媒,20,720,2520,0.34,正常
2026-04-16,华南贸易,12,410,1380,0.22,正常
2026-04-17,启明科技,8,240,860,0.15,正常
2026-04-18,云图文化,15,560,1980,0.28,正常
2026-04-19,鼎峰实业,5,162,470,0.11,正常
2026-04-20,星河传媒,20,730,2600,0.35,正常
